year,apple,price,income
1990,12.8,50.1,1606
1991,12.3,71.3,1513
1992,13.1,81,1567
1993,12.9,76.2,1547
1994,13.8,80.3,1646
1995,13.2,91,1657
1996,13.3,90.2,1678
1997,13.6,84.2,1726
1998,13.5,83.7,1714
1999,12.9,77.1,1795
2000,12.9,74.5,1839
2001,12.8,82.8,1844
2002,13.3,92.2,1831
2003,13.7,88.8,1881
2004,13.2,87.2,1883
2005,13.7,88.3,1909
2006,13.6,90.1,1969
2007,13.7,88.7,2015
2008,13.5,87.3,2126
2009,13.9,93.9,2239
2010,13.9,102.6,2335
2011,13.6,100,2403
2012,14,102.3,2486
2013,14.2,111.4,2534
2014,14.8,117.6,2610
